mot,frequence,categorie_suggestion (à remplir)
"american robin",68,
"dissonant",67,
"steps",67,
"fear",67,
"envelope",67,
"fold",67,
"connector",67,
"used",67,
"cars",67,
"turn on",67,
"swash",67,
"left and right",67,
"launching",67,
"artificial",67,
"boiler",67,
"strap",67,
"explosions",67,
"golf",67,
"basketball",67,
"exit",67,
"conversation",67,
"dishware",67,
"bleat",67,
"chewing",67,
"f12",67,
"increasing",66,
"rapid",66,
"rush",66,
"burning",66,
"screwdriver",66,
"sparks",66,
"chirping",66,
"gui",66,
"trigger",66,
"alarms",66,
"5m distance",66,
"distance 1m",66,
"fastener",66,
"attachment",66,
"dishwasher",66,
"oink",66,
"tropic",66,
"vinyl",65,
"xlr",65,
"sustain",65,
"descending",65,
"incoming",65,
"squeeze",65,
"craft",65,
"return",65,
"money",65,
"ufo",65,
"aged",65,
"backpack",65,
"activity",65,
"illuminate",65,
"rewind",65,
"electromagnetic",65,
"harmonic",64,
"jack",64,
"documents",64,
"factory",64,
"duck",64,
"disgusting",64,
"meadow",64,
"pressing",64,
"preparation",64,
"meal",64,
"locomotive",64,
"childhood",64,
"spoon",64,
"cal 7.62mm fmj",64,
"1m distance",64,
"a4",64,
"broadband noise",64,
"american crow",64,
"luck",64,
"casino",64,
"polaroid supercolor 635",64,
"polaroid",64,
"listening",64,
"audiobook",64,
"e-bass",63,
"stream",63,
"meat",63,
"excavator",63,
"throat",63,
"humm",63,
"densely",63,
"pack",63,
"finish",63,
"shave",63,
"constantly mumbling",63,
"nicker",63,
"poof",63,
"gambling",63,
"bet",63,
"magazine",62,
"through",62,
"calculating",62,
"tv",62,
"squeaky",62,
"tracks",62,
"area",62,
"approaching",62,
"blender",62,
"growling",62,
"shower",62,
"intelligence",62,
"tractor",62,
"archery",62,
"bolster",62,
"interference",62,
"sustained",61,
"joyful",61,
"load",61,
"prepare",61,
"hard sound",61,
"tire",61,
"agriculture",61,
"yelling",61,
"vibrato",60,
"bit",60,
"grain",60,
"positive",60,
"book",60,
"chicken",60,
"idling",60,
"powerful",60,
"boats",60,
"fireworks",60,
"sniper",60,
"microphone",60,
"common cold",60,
"coughing",60,
"skater",60,
"go kart",60,
"tease",60,
"cyber",60,
"handset",60,
"look",60,
"transceiver",60,
"headphone",60,
"oboe",59,
"egg",59,
"glitchy",59,
"garbage",59,
"short sound",59,
"squishy",59,
"calling",59,
"medium perspective",59,
"slight rattling",59,
"individual",59,
"technical",59,
"armory",59,
"pasta",59,
"tennis",59,
"mixer",59,
"barn",59,
"texas",59,
"holdem",59,
"cellphone",59,
"doppler",58,
"card",58,
"material",58,
"indoors",58,
"coming",58,
"splat",58,
"town",58,
"folding",58,
"smashing",58,
"trickle",58,
"sparkling",58,
"times",58,
"excitement",58,
"hang",58,
"racket",58,
"punching bag",58,
"punchbag",58,
"flexing",58,
"trim",58,
"drift",58,
"aula",58,
"scooping sound",58,
"leprechaun",58,
"app",58,
"sad",57,
"beatbox",57,
"slight",57,
"cymbal",57,
"bed",57,
"log",57,
"star",57,
"exert",57,
"tank",57,
"smg",57,
"quiver",57,
"interior recording",57,
"rippling water",57,
"trunk",56,
"kill",56,
"raise",56,
"throttle",56,
"lot",56,
"rubbing",56,
"distant-combat weapon",56,
"wwii",56,
"chain mail",56,
"flash",56,
"mercedes-benz",56,
"chat",56,
"gobble",56,
"kraken",56,
"alpha",56,
"lens",56,
"headphones",56,
"producer",56,
"slide tray",56,
"finger",55,
"analog",55,
"pen",55,
"scrub",55,
"projectile",55,
"rod",55,
"beeps",55,
"bleep",55,
"martial arts",55,
"fasten",55,
"twisting",55,
"boxing",55,
"saddle",55,
"go",55,
"spices",55,
"bite",55,
"countryside",55,
"decline",55,
"close exterior perspective",55,
"vocals",54,
"clicky",54,
"paperwork",54,
"beam",54,
"gong",54,
"builder",54,
"structure",54,
"guts",54,
"dumbbell",54,
"screeching",54,
"loudly",54,
"mono omnidirectional microphone",54,
"indirect",54,
"tray",54,
"respiration",54,
"deep voice",54,
"farts",54,
"loop group",54,
"covering",54,
"shot glass",54,
"text",54,
"clap",53,
"placing",53,
"handbell",53,
"shortly",53,
"glug",53,
"private",53,
"damage",53,
"radio controlled",53,
"hoist",53,
"vibrate",53,
"stressed",53,
"swimming",53,
"slow down",53,
"dining",53,
"submachine",53,
"billiard",53,
"mumble",53,
"laundry",53,
"decreasing intensity",53,
"grasshopper",53,
"allroad",53,
"outside car",53,
"wavering",52,
"bend",52,
"arcade",52,
"land",52,
"adaptor",52,
"cinema",52,
"intro",52,
"lightning",52,
"approach",52,
"hose",52,
"rustling leaves",52,
"saber",52,
"shuttle",52,
"saucepan",52,
"catch",52,
"protection",52,
"zoom",52,
"far distance",52,
"battery",52,
"trousers",52,
"cotton",52,
"teeth",52,
"velcro",52,
"some coughing",52,
"scooter",52,
"cd player",52,
"kangoo",52,
"crunching sound",52,
"binary",52,
"canon eos 7d",52,
"canon",52,
"letters",52,
"tinkle",51,
"fork",51,
"trees",51,
"boeing",51,
"doppler effect",51,
"slightly reverberant",51,
"armour",51,
"rubbish",51,
"runny",51,
"stereo version",51,
"attacking",51,
"sew",51,
"lisp",51,
"babbling",51,
"high pitched",50,
"unplug",50,
"random",50,
"footsteps",50,
"shaky",50,
"rich",50,
"galaxy",50,
"strip",50,
"whistles",50,
"faint",50,
"direct",50,
"lamp",50,
"additional",50,
"lightweight",50,
"precision",50,
"dual mono shotgun",50,
"reverb tail",50,
"forest-like",50,
"light echoes",50,
"slow pace",50,
"template",50,
"zoo",50,
"european",50,
"jeep",50,
"cherokee",50,
"shrill",49,
"axe",49,
"hard drive",49,
"briefly",49,
"rain drops",49,
"chatter",49,
"scratching over surface",49,
"warble",49,
"wide a/b omni",49,
"stealth",49,
"flavor",49,
"fencing",49,
"barber",49,
"mumbling in background",49,
"van",49,
"pat",48,
"read",48,
"care",48,
"manual",48,
"wrench",48,
"grunting",48,
"two strong",48,
"malfunction",48,
"bath",48,
"blaster",48,
"puddle",48,
"sharpen",48,
"accessory",48,
"coil",48,
"use",48,
"celebration",48,
"pdw cal",48,
"5.56 nato",48,
"11.5 in barrel",48,
"mono shotgun",48,
"16 in barrel",48,
"assault rifle",48,
"young",48,
"table tennis",48,
"hoarse",48,
"tumbler",48,
"hike",48,
"language",48,
"metro",48,
"hairdresser",48,
"carousel",48,
"bellow",48,
"super car",48,
"sentence",48,
"option",48,
"type",48,
"minolta dynax 505",48,
"minolta",48,
"boombox",48,
"end of line",48,
"chimes",47,
"held",47,
"high-pitched",47,
"jumping",47,
"forceful",47,
"planet",47,
"purr",47,
"fire department",47,
"cannon",47,
"squad",47,
"traveling",47,
"daytime",47,
"skirmish",47,
"wrap",47,
"retract",47,
"carriage",47,
"stitch",47,
"cage",47,
"sportscar",47,
"subcompact",47,
"gaz-53",47,
"nr applied",47,
"seasoning",47,
"selection",47,
"jitter",47,
"song",46,
"turntable",46,
"dangerous",46,
"clear",46,
"horrific",46,
"women",46,
"throwing",46,
"motherboard",46,
"lightly",46,
"summer",46,
"chisel",46,
"rotor",46,
"film",46,
"sudden",46,
